persona,dataset,generation_accuracy,probe_accuracy,knowledge_gap,n_questions,n_unclear,model,probe_dataset,split_mode,split_seed,direction,probe_cv_acc_train,train_n,eval_n
baseline,TruthfulQA,0.7946,0.89,0.09540000000000004,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
age:22 years old,TruthfulQA,0.802,0.8826,0.0806,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
age:68 years old,TruthfulQA,0.8044,0.8753,0.07089999999999996,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
gender:male,TruthfulQA,0.7970999999999999,0.8851,0.08800000000000008,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
gender:non-binary,TruthfulQA,0.8093,0.8826,0.07330000000000003,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
race:White,TruthfulQA,0.8044,0.8851,0.0807,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
race:Black,TruthfulQA,0.8117,0.8802,0.0685,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
race:Asian,TruthfulQA,0.8068000000000001,0.8851,0.07829999999999993,409,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,A_to_B,0.8628,408,409
baseline,TruthfulQA,0.8234999999999999,0.8848,0.06130000000000013,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
age:22 years old,TruthfulQA,0.8234999999999999,0.8725,0.049000000000000155,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
age:68 years old,TruthfulQA,0.8284,0.8676,0.03920000000000001,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
gender:male,TruthfulQA,0.8284,0.8798999999999999,0.05149999999999988,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
gender:non-binary,TruthfulQA,0.8332999999999999,0.8824,0.04910000000000003,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
race:White,TruthfulQA,0.8162,0.8873000000000001,0.07110000000000005,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
race:Black,TruthfulQA,0.8234999999999999,0.8824,0.05890000000000006,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
race:Asian,TruthfulQA,0.8210999999999999,0.8848,0.06370000000000009,408,0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,B_to_A,0.8657,409,408
baseline,TruthfulQA,0.8090499999999999,0.8874,0.07835000000000009,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
age:22 years old,TruthfulQA,0.81275,0.87755,0.06480000000000008,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
age:68 years old,TruthfulQA,0.8164,0.8714500000000001,0.05504999999999999,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
gender:male,TruthfulQA,0.81275,0.8825,0.06974999999999998,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
gender:non-binary,TruthfulQA,0.8212999999999999,0.8825000000000001,0.06120000000000003,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
race:White,TruthfulQA,0.8103,0.8862000000000001,0.07590000000000002,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
race:Black,TruthfulQA,0.8175999999999999,0.8813,0.06370000000000003,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
race:Asian,TruthfulQA,0.81395,0.88495,0.07100000000000001,408.5,0.0,gemma-9b,TruthfulQA,shuffle_50_50_two_way,20,mean,0.86425,408.5,408.5
