model,dataset,persona,layer,probe_accuracy,probe_cv_mean,probe_cv_std,n_questions,train_n,split_mode,split_seed,eval_n
olmo-7b,TruthfulQA,baseline,0,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,1,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,2,0.4950980392156863,0.5159289370671485,0.010735636964884956,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,3,0.49019607843137253,0.513279132791328,0.042534477514771865,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,4,0.5147058823529411,0.5352905751279735,0.041367930017307555,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,5,0.5318627450980392,0.5109906654622102,0.03457702787945482,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,6,0.6102941176470589,0.5526949713941585,0.03258188381158253,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,7,0.6176470588235294,0.5795844625112918,0.027836139951162527,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,8,0.6151960784313726,0.5893405600722674,0.02086975038975113,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,9,0.6495098039215687,0.5966275218307738,0.015981020366614796,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,10,0.7083333333333334,0.6504366154772658,0.036833827313088166,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,11,0.7647058823529411,0.7041854862993076,0.023255954238091136,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,12,0.8088235294117647,0.7604336043360433,0.02809031657420043,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,13,0.8553921568627451,0.8093345377898225,0.022267913586494853,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,14,0.8553921568627451,0.8607046070460704,0.019417868962246995,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,15,0.8946078431372549,0.8533875338753386,0.01836830699493825,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,16,0.8823529411764706,0.8631737428485395,0.020533996218101584,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,17,0.8848039215686274,0.8607648298705209,0.031065493208498704,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,18,0.8970588235294118,0.8437217705510388,0.0649433428467585,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,19,0.8946078431372549,0.8485697079193013,0.05351217326790065,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,20,0.8995098039215687,0.8607648298705209,0.04169429295711682,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,21,0.9117647058823529,0.8558566696778079,0.04432626936697694,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,22,0.9142156862745098,0.8607648298705209,0.04768448031647508,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,23,0.9166666666666666,0.8632038542607647,0.04227331285299635,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,24,0.9215686274509803,0.8558566696778079,0.04940369777749607,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,25,0.9166666666666666,0.8582956940680517,0.04707275766827206,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,26,0.9215686274509803,0.8631737428485395,0.037060213125098884,408,409,shuffle,20,408
olmo-7b,TruthfulQA,baseline,27,0.9117647058823529,0.8656127672387836,0.03245607982588433,408,409,shuffle,20,408
