model,dataset,persona,layer,logit_lens_accuracy,mean_margin_correct_minus_wrong,n_questions,train_n,split_mode,split_seed,eval_n,option_token_id_mode,opt1_token_id,opt2_token_id
olmo-7b,TruthfulQA,baseline,0,0.4852941176470588,-0.016175856192906696,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,1,0.4852941176470588,-0.005422432633007274,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,2,0.4852941176470588,-0.0008753273709147584,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,3,0.5147058823529411,0.007964343197789847,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,4,0.5147058823529411,0.009614181942215153,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,5,0.5147058823529411,0.01555884140087109,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,6,0.5147058823529411,0.01853992410150229,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,7,0.5147058823529411,0.017384086388583277,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,8,0.5147058823529411,0.020517970270970288,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,9,0.5147058823529411,0.023494673271973927,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,10,0.5147058823529411,0.020535341664856554,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,11,0.5147058823529411,0.015361061210141462,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,12,0.5147058823529411,0.010142627738270104,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,13,0.5147058823529411,0.02228427875567885,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,14,0.5147058823529411,0.020239321332351835,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,15,0.5147058823529411,0.03023972596023597,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,16,0.5147058823529411,0.03708573270077799,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,17,0.5686274509803921,0.08528329446619633,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,18,0.6740196078431373,0.25162626152821616,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,19,0.6593137254901961,0.2442055091115774,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,20,0.6617647058823529,0.24594171578977622,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,21,0.6740196078431373,0.3301701200943367,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,22,0.678921568627451,0.3402396426627449,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,23,0.6813725490196079,0.35354259982705116,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,24,0.6813725490196079,0.3474015494187673,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,25,0.6764705882352942,0.3451612364573806,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,26,0.678921568627451,0.34584296268283155,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,27,0.6593137254901961,0.3276984167887884,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,28,0.6740196078431373,0.3387518717231704,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,29,0.6764705882352942,0.33424701059565826,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,30,0.6764705882352942,0.33686238739128205,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,baseline,31,0.6740196078431373,0.32934444426905873,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,0,0.4852941176470588,-0.0161783711290827,408,409,shuffle,20,408,1/2,16,17
